Start: 2008-03-11 09:38:48, End: 2008-03-11 09:43:08, Duration: 0:04:19.917802, Max Elevation: 41.41 degrees
Start: 2008-03-11 22:36:30, End: 2008-03-11 22:41:08, Duration: 0:04:38.677909, Max Elevation: 52.98 degrees
Start: 2008-03-12 09:16:21, End: 2008-03-12 09:21:15, Duration: 0:04:54.171609, Max Elevation: 77.24 degrees
Start: 2008-03-12 22:14:17, End: 2008-03-12 22:19:12, Duration: 0:04:55.384316, Max Elevation: 84.07 degrees
Start: 2008-03-13 08:54:22, End: 2008-03-13 08:59:06, Duration: 0:04:43.748049, Max Elevation: 57.89 degrees
Start: 2008-03-13 21:52:24, End: 2008-03-13 21:56:52, Duration: 0:04:28.335016, Max Elevation: 45.20 degrees
Start: 2008-03-14 08:32:52, End: 2008-03-14 08:36:38, Duration: 0:03:45.841624, Max Elevation: 32.64 degrees
Start: 2008-03-14 21:31:02, End: 2008-03-14 21:33:56, Duration: 0:02:54.160833, Max Elevation: 25.75 degrees
Start: 2008-03-14 23:04:33, End: 2008-03-14 23:07:29, Duration: 0:02:55.580339, Max Elevation: 26.05 degrees
Start: 2008-03-15 09:44:15, End: 2008-03-15 09:48:13, Duration: 0:03:58.338840, Max Elevation: 34.78 degrees
Start: 2008-03-15 22:41:54, End: 2008-03-15 22:46:18, Duration: 0:04:24.733789, Max Elevation: 44.21 degrees
Start: 2008-03-16 09:21:45, End: 2008-03-16 09:26:34, Duration: 0:04:49.331362, Max Elevation: 63.82 degrees
Start: 2008-03-16 22:19:41, End: 2008-03-16 22:24:36, Duration: 0:04:54.675127, Max Elevation: 81.03 degrees
Start: 2008-03-17 08:59:43, End: 2008-03-17 09:04:35, Duration: 0:04:51.852169, Max Elevation: 70.20 degrees
Start: 2008-03-17 21:57:47, End: 2008-03-17 22:02:29, Duration: 0:04:42.308950, Max Elevation: 54.90 degrees
Start: 2008-03-18 08:38:09, End: 2008-03-18 08:42:20, Duration: 0:04:10.782184, Max Elevation: 38.67 degrees
Start: 2008-03-18 21:36:17, End: 2008-03-18 21:39:53, Duration: 0:03:35.921058, Max Elevation: 30.53 degrees
Start: 2008-03-18 23:10:34, End: 2008-03-18 23:12:32, Duration: 0:01:58.484330, Max Elevation: 22.37 degrees
Start: 2008-03-19 08:17:16, End: 2008-03-19 08:19:33, Duration: 0:02:16.699922, Max Elevation: 23.29 degrees
Start: 2008-03-19 09:50:10, End: 2008-03-19 09:53:37, Duration: 0:03:26.567900, Max Elevation: 29.17 degrees
Start: 2008-03-19 22:47:42, End: 2008-03-19 22:51:47, Duration: 0:04:04.838825, Max Elevation: 36.92 degrees
Start: 2008-03-20 09:27:33, End: 2008-03-20 09:32:12, Duration: 0:04:39.136889, Max Elevation: 52.03 degrees
Start: 2008-03-20 22:25:28, End: 2008-03-20 22:30:18, Duration: 0:04:50.024820, Max Elevation: 66.52 degrees
Start: 2008-03-21 09:05:29, End: 2008-03-21 09:10:25, Duration: 0:04:55.619478, Max Elevation: 85.30 degrees
Start: 2008-03-21 22:03:34, End: 2008-03-21 22:08:26, Duration: 0:04:51.290715, Max Elevation: 67.66 degrees
Start: 2008-03-22 08:43:51, End: 2008-03-22 08:48:21, Duration: 0:04:29.824165, Max Elevation: 46.76 degrees
Start: 2008-03-22 21:42:01, End: 2008-03-22 21:46:07, Duration: 0:04:06.331716, Max Elevation: 36.81 degrees
Start: 2008-03-23 08:22:46, End: 2008-03-23 08:25:55, Duration: 0:03:09.603719, Max Elevation: 27.42 degrees
Start: 2008-03-23 09:56:37, End: 2008-03-23 09:59:14, Duration: 0:02:37.050405, Max Elevation: 24.42 degrees
Start: 2008-03-23 21:21:16, End: 2008-03-23 21:22:56, Duration: 0:01:40.124703, Max Elevation: 21.60 degrees
Start: 2008-03-23 22:53:56, End: 2008-03-23 22:57:33, Duration: 0:03:36.235440, Max Elevation: 30.89 degrees
Start: 2008-03-24 09:33:48, End: 2008-03-24 09:38:10, Duration: 0:04:22.339273, Max Elevation: 42.27 degrees
Start: 2008-03-24 22:31:40, End: 2008-03-24 22:36:20, Duration: 0:04:40.019805, Max Elevation: 53.84 degrees
Start: 2008-03-25 09:11:40, End: 2008-03-25 09:16:35, Duration: 0:04:54.954626, Max Elevation: 78.14 degrees
Start: 2008-03-25 22:09:46, End: 2008-03-25 22:14:41, Duration: 0:04:55.772365, Max Elevation: 83.52 degrees
Start: 2008-03-26 08:49:58, End: 2008-03-26 08:54:42, Duration: 0:04:43.970498, Max Elevation: 57.74 degrees
Start: 2008-03-26 21:48:10, End: 2008-03-26 21:52:39, Duration: 0:04:28.914494, Max Elevation: 45.30 degrees
Start: 2008-03-27 08:28:45, End: 2008-03-27 08:32:32, Duration: 0:03:47.144292, Max Elevation: 32.82 degrees
Start: 2008-03-27 21:27:04, End: 2008-03-27 21:30:01, Duration: 0:02:57.265947, Max Elevation: 26.00 degrees
Start: 2008-03-27 23:00:39, End: 2008-03-27 23:03:33, Duration: 0:02:53.987349, Max Elevation: 25.88 degrees
Start: 2008-03-28 09:40:29, End: 2008-03-28 09:44:26, Duration: 0:03:57.013400, Max Elevation: 34.39 degrees
Start: 2008-03-28 22:38:17, End: 2008-03-28 22:42:40, Duration: 0:04:23.703539, Max Elevation: 43.51 degrees
Start: 2008-03-29 09:18:15, End: 2008-03-29 09:23:04, Duration: 0:04:48.866830, Max Elevation: 62.43 degrees
Start: 2008-03-29 22:16:21, End: 2008-03-29 22:21:16, Duration: 0:04:54.899024, Max Elevation: 79.02 degrees
Start: 2008-03-30 08:56:31, End: 2008-03-30 09:01:24, Duration: 0:04:52.998652, Max Elevation: 72.38 degrees
Start: 2008-03-30 21:54:44, End: 2008-03-30 21:59:28, Duration: 0:04:44.536216, Max Elevation: 56.94 degrees
Start: 2008-03-31 08:35:12, End: 2008-03-31 08:39:27, Duration: 0:04:15.301814, Max Elevation: 40.09 degrees
Start: 2008-03-31 21:33:29, End: 2008-03-31 21:37:13, Duration: 0:03:43.623169, Max Elevation: 31.77 degrees
Start: 2008-03-31 23:07:58, End: 2008-03-31 23:09:39, Duration: 0:01:41.083017, Max Elevation: 21.67 degrees
Start: 2008-04-01 08:14:31, End: 2008-04-01 08:17:03, Duration: 0:02:31.827903, Max Elevation: 24.19 degrees
Start: 2008-04-01 09:47:40, End: 2008-04-01 09:50:57, Duration: 0:03:17.611844, Max Elevation: 28.03 degrees
Start: 2008-04-01 22:45:19, End: 2008-04-01 22:49:17, Duration: 0:03:58.811740, Max Elevation: 35.32 degrees
Start: 2008-04-02 09:25:17, End: 2008-04-02 09:29:53, Duration: 0:04:35.777060, Max Elevation: 49.23 degrees
